url,project_id,sdtc,mcpc,mcve,star_number,commit_count,files,lines,pull_requests,github_repo_creation,earliest_commit,most_recent_commit,committer_count,author_count,dominant_domain,dominant_domain_committer_commits,dominant_domain_author_commits,dominant_domain_committers,dominant_domain_authors,cik,fg500,sec10k,sec20f,project_name,owner_login,company_name,owner_company,license,repo_name,last90
https://github.com/Azure/azure-cli,42116935,f,t,t,1348,9465,2988.0,3067760.0,4287,2016-02-04 00:21:51,2016-07-06 22:14:12,2019-05-31 17:56:16,254,418,microsoft.com,4091,5189,137,299,789019.0,t,t,f,azure-cli,Azure,MICROSOFT CORPORATION,,MIT,Azure/azure-cli,200.0
https://github.com/AirenSoft/OvenMediaEngine,96260356,t,t,f,117,335,592.0,330758.0,3,2018-04-27 05:46:02,2018-04-27 05:46:03,2019-05-31 06:37:52,9,9,airensoft.com,229,266,5,5,,,,,OvenMediaEngine,AirenSoft,,,NOASSERTION,AirenSoft/OvenMediaEngine,196.0
https://github.com/Automattic/themes,90213043,t,f,f,86,1277,2815.0,965100.0,300,2018-01-23 19:12:41,2018-03-02 23:06:29,2019-05-31 14:37:29,15,15,automattic.com,216,249,3,3,,,,,themes,Automattic,,,,Automattic/themes,195.0
https://github.com/analogdevicesinc/no-OS,2303985,t,f,f,250,2863,2213.0,2949690.0,134,2012-12-05 09:02:58,2013-01-18 13:29:56,2019-05-28 14:37:43,26,25,analog.com,2511,2672,16,18,6281.0,f,t,f,no-OS,analogdevicesinc,ANALOG DEVICES INC,,NOASSERTION,analogdevicesinc/no-OS,194.0
https://github.com/AdaCore/langkit,29744020,t,f,f,41,5567,1143.0,109687.0,169,2015-12-08 14:27:51,2015-11-01 17:55:26,2019-05-29 12:06:33,15,16,adacore.com,3789,4074,10,12,,,,,langkit,AdaCore,,,NOASSERTION,AdaCore/langkit,192.0
https://github.com/aws/aws-sdk-cpp,33517492,t,f,f,668,1991,49150.0,8041514.0,175,2015-05-11 17:57:32,2015-11-19 23:24:58,2019-05-30 19:45:06,62,86,amazon.com,518,521,10,25,1018724.0,t,t,f,aws-sdk-cpp,aws,AMAZON COM INC,,Apache-2.0,aws/aws-sdk-cpp,191.0
https://github.com/odoo/documentation-user,22233627,t,f,f,171,1668,2674.0,559974.0,316,2015-07-09 14:30:22,2015-03-13 08:13:00,2019-05-28 12:29:00,42,78,odoo.com,1477,1347,22,66,,,,,documentation-user,odoo,,,,odoo/documentation-user,188.0
https://github.com/wiredtiger/wiredtiger,7402,t,f,f,1441,27677,1316.0,313306.0,3617,2011-12-09 00:43:19,2009-02-19 18:29:51,2019-05-31 20:04:25,46,50,mongodb.com,25972,26359,19,35,1441816.0,f,t,f,wiredtiger,wiredtiger,"MongoDB, Inc.",,NOASSERTION,wiredtiger/wiredtiger,186.0
https://github.com/linuxdeepin/dde-control-center,9155491,f,t,t,98,3932,2391.0,387744.0,77,2013-11-06 07:23:41,2014-02-17 07:49:23,2019-05-31 08:25:52,45,39,linuxdeepin.com,152,358,9,11,,,,,dde-control-center,linuxdeepin,,,GPL-3.0,linuxdeepin/dde-control-center,186.0
https://github.com/nginxinc/kubernetes-ingress,33344080,t,f,f,1669,1163,2446.0,887087.0,329,2016-03-10 03:45:12,2016-03-10 04:22:18,2019-05-23 15:12:14,39,49,nginx.com,519,624,6,14,,,,,kubernetes-ingress,nginxinc,,,Apache-2.0,nginxinc/kubernetes-ingress,183.0
https://github.com/AdaCore/gps,45363812,t,f,f,124,2678,3012.0,753639.0,8,2016-09-08 17:22:47,2016-07-15 19:17:15,2019-05-29 09:42:35,36,42,adacore.com,1974,1913,30,40,,,,,gps,AdaCore,,,,AdaCore/gps,182.0
