url,project_id,sdtc,mcpc,mcve,star_number,commit_count,files,lines,pull_requests,github_repo_creation,earliest_commit,most_recent_commit,committer_count,author_count,dominant_domain,dominant_domain_committer_commits,dominant_domain_author_commits,dominant_domain_committers,dominant_domain_authors,cik,fg500,sec10k,sec20f,project_name,owner_login,company_name,owner_company,license,repo_name,last90
https://github.com/mParticle/mparticle-apple-sdk,33629711,t,f,f,17,683,325.0,54784.0,21,2015-10-22 17:03:41,2016-02-11 20:35:20,2019-05-28 14:43:23,13,20,mparticle.com,510,503,6,16,,,,,mparticle-apple-sdk,mParticle,,,Apache-2.0,mParticle/mparticle-apple-sdk,13.0
https://github.com/KnpLabs/KnpPaginatorBundle,18090,f,t,t,829,452,71.0,3365.0,217,2010-08-24 13:51:40,2010-09-07 04:24:28,2019-03-17 16:19:30,125,140,knplabs.com,16,42,3,3,,,,,KnpPaginatorBundle,KnpLabs,,,MIT,KnpLabs/KnpPaginatorBundle,4.0
https://github.com/Azure/azure-umqtt-c,31217427,t,t,t,30,795,80.0,11944.0,39,2015-12-03 02:01:28,2016-01-05 19:31:06,2019-05-17 18:39:58,47,50,microsoft.com,607,613,25,31,789019.0,t,t,f,azure-umqtt-c,Azure,MICROSOFT CORPORATION,,NOASSERTION,Azure/azure-umqtt-c,2.0
https://github.com/onelogin/php-saml,228609,f,t,f,675,632,429.0,79744.0,149,2010-06-02 15:40:42,2010-06-02 20:04:29,2019-04-26 09:38:43,64,74,onelogin.com,0,0,0,0,,,,,php-saml,onelogin,,,MIT,onelogin/php-saml,1.0
https://github.com/mdn/webextensions-examples,24176221,t,f,f,1877,647,504.0,11497.0,213,2015-08-14 19:55:54,2015-08-14 17:55:54,2019-05-22 11:54:24,39,62,mozilla.com,392,399,3,33,,,,,webextensions-examples,mdn,,,MPL-2.0,mdn/webextensions-examples,2.0
https://github.com/Microsoft/GSL,25837358,f,t,t,3649,644,37.0,12922.0,371,2015-08-19 01:11:19,2015-08-21 20:19:05,2019-04-11 17:40:02,67,106,microsoft.com,74,80,4,20,789019.0,t,t,f,GSL,Microsoft,MICROSOFT CORPORATION,,NOASSERTION,Microsoft/GSL,17.0
https://github.com/Microsoft/vscode-extension-samples,29115602,t,t,t,1341,730,577.0,62181.0,77,2015-11-05 10:14:11,2015-11-05 10:14:11,2019-05-31 18:51:11,36,61,microsoft.com,401,463,14,15,789019.0,t,t,f,vscode-extension-samples,Microsoft,MICROSOFT CORPORATION,,NOASSERTION,Microsoft/vscode-extension-samples,15.0
https://github.com/ncbi/icn3d,31155345,f,f,t,30,282,84.0,46571.0,1,2016-01-20 16:16:12,2016-01-20 21:19:18,2019-05-20 18:47:12,3,3,ncbi.nlm.nih.gov,0,0,0,0,,,,,icn3d,ncbi,,,NOASSERTION,ncbi/icn3d,18.0
https://github.com/Microsoft/language-server-protocol,39828653,f,t,t,4414,707,24.0,6318.0,240,2015-09-04 09:24:55,2015-11-18 13:10:19,2019-05-28 20:40:46,55,133,microsoft.com,257,451,4,4,789019.0,t,t,f,language-server-protocol,Microsoft,MICROSOFT CORPORATION,,NOASSERTION,Microsoft/language-server-protocol,18.0
https://github.com/algolia/autocomplete.js,22081924,f,t,t,952,628,72.0,27812.0,116,2015-07-12 20:20:01,2014-08-07 04:48:57,2019-02-21 12:29:17,31,41,algolia.com,11,12,1,1,,,,,autocomplete.js,algolia,,,NOASSERTION,algolia/autocomplete.js,6.0
https://github.com/awslabs/amazon-kinesis-client,6981062,t,f,f,476,464,311.0,52191.0,290,2013-11-07 19:02:44,2013-11-07 18:02:44,2019-04-09 19:15:33,39,53,amazon.com,272,335,14,32,1018724.0,t,t,f,amazon-kinesis-client,awslabs,AMAZON COM INC,,Apache-2.0,awslabs/amazon-kinesis-client,11.0
https://github.com/linagora/linshare,15465089,t,t,t,150,254,109.0,11607.0,3,2015-01-23 15:36:01,2015-01-23 14:49:23,2019-05-03 15:37:35,21,22,linagora.com,249,249,17,19,,,,,linshare,linagora,,,,linagora/linshare,8.0
https://github.com/NXPNFCProject/NFC_NCIHAL_libnfc-nci,26481931,t,f,f,16,751,140.0,97651.0,1,2015-09-23 11:09:49,2015-09-23 09:12:05,2019-05-31 12:31:38,4,30,nxp.com,644,749,3,30,1413447.0,f,f,t,NFC_NCIHAL_libnfc-nci,NXPNFCProject,NXP Semiconductors N.V.,,NOASSERTION,NXPNFCProject/NFC_NCIHAL_libnfc-nci,3.0
