url,commit_count,lines,committer_count
https://github.com/mParticle/mparticle-apple-sdk,1223,253587,48
https://github.com/KnpLabs/KnpPaginatorBundle,734,33876,203
https://github.com/Azure/azure-umqtt-c,884,54442,69
https://github.com/onelogin/php-saml,714,209059,92
https://github.com/mdn/webextensions-examples,533,67143,94
https://github.com/Microsoft/GSL,1017,188742,162
https://github.com/Microsoft/vscode-extension-samples,1753,3379344,174
https://github.com/ncbi/icn3d,1547,8653042,4
https://github.com/Microsoft/language-server-protocol,1904,228738,472
https://github.com/algolia/autocomplete.js,2441,696279,159
https://github.com/awslabs/amazon-kinesis-client,627,218255,110
https://github.com/linagora/linshare,1201,109444,35
https://github.com/NXPNFCProject/NFC_NCIHAL_libnfc-nci,677,394608,23
https://github.com/Microsoft/vscode-wiki,2576,35300,218
https://github.com/leapmotion/leapjs,891,985505,59
https://github.com/Microsoft/clrmd,1217,544953,105
https://github.com/Azure/azure-docs-powershell-azuread,1708,710780,180
https://github.com/aristanetworks/goarista,826,76764,60
https://github.com/aliyun/alicloud-android-demo,438,243885,29
https://github.com/Azure/azure-webjobs-sdk-extensions,700,149325,54
https://github.com/mollie/OpenCart,587,787662,48
https://github.com/Azure/amqpnetlite,784,193024,46
https://github.com/pcengines/apu2-documentation,624,140805,44
https://github.com/jpush/jpush-phonegap-plugin,762,90059,31
https://github.com/npm/node-semver,521,79552,100
https://github.com/KnpLabs/snappy,470,20683,105
https://github.com/osmlab/osm-community-index,2108,1789551,200
https://github.com/okta/okta-auth-js,914,488754,66
https://github.com/CastXML/CastXML,760,170927,20
https://github.com/Microsoft/vscode-generator-code,874,267676,102
https://github.com/Azure/go-autorest,553,884334,79
https://github.com/magefan/module-blog,1874,202493,74
https://github.com/Alfresco/rest-api-explorer,1105,88760,94
https://github.com/mollie/mollie-api-node,938,510997,65
https://github.com/makinacorpus/django-leaflet,776,312312,95
https://github.com/nearform/graphql-hooks,817,389596,105
https://github.com/aerospike/aerospike-client-java,1486,503819,76
https://github.com/Microsoft/vscode-eslint,783,223024,79
https://github.com/ONLYOFFICE/server,2651,1810274,45
https://github.com/mollie/mollie-api-php,2022,461250,123
