project,commits,cum_churn
https://github.com/AdaCore/libadalang,1620,1366976
https://github.com/Adyen/adyen-magento2,995,232779
https://github.com/AzureAD/microsoft-authentication-library-for-dotnet,637,153370
https://github.com/ECP-WarpX/WarpX,1587,297188
https://github.com/HabitatMap/AirCasting,504,135608
https://github.com/LLNL/RAJA,2079,1206203
https://github.com/MaibornWolff/codecharta,1671,1406977
https://github.com/Microsoft/ApplicationInsights-Java,1037,87298
https://github.com/Microsoft/vs-streamjsonrpc,1016,50643
https://github.com/Microsoft/vs-threading,1097,115312
https://github.com/Microsoft/vscode-mssql,877,545342
https://github.com/NetApp/trident,513,4992709
https://github.com/OpenChemistry/avogadrolibs,3118,1884779
https://github.com/OpenMDAO/OpenMDAO,3404,893423
https://github.com/TheJumpCloud/support,1473,175360
https://github.com/analogdevicesinc/scopy,1896,1339614
https://github.com/arangodb/kube-arangodb,696,1217914
https://github.com/aspose-words/Aspose.Words-for-.NET,316,543751
https://github.com/aws-amplify/amplify-cli,1260,979366
https://github.com/aws/aws-toolkit-vscode,8541,5173749
https://github.com/erxes/erxes,9804,12803880
https://github.com/girder/large_image,2136,169059
https://github.com/ingadhoc/odoo-argentina,272,23855
https://github.com/kaltura/kaltura-player-js,677,89781
https://github.com/kanisterio/kanister,1150,124922
https://github.com/linuxdeepin/dde-control-center,1201,3868760
https://github.com/linuxdeepin/dde-file-manager,3211,3907453
https://github.com/litespeedtech/lscache_wp,858,101608
https://github.com/marklogic/marklogic-contentpump,1062,21068
https://github.com/mcneel/developer-rhino3d-com,985,298984
https://github.com/mercadopago/devsite-docs,6391,6493254
https://github.com/micromata/projectforge,1586,966320
https://github.com/odoo/runbot,735,174304
https://github.com/opengisch/QField,3300,604512
https://github.com/project-everest/everest,1095,5777
https://github.com/rapidsai/cugraph,1229,924109
https://github.com/stack-of-tasks/pinocchio,2023,952307
https://github.com/usdot-jpo-ode/jpo-ode,1008,958318
https://github.com/vespa-engine/documentation,3375,590937
https://github.com/wingtk/gvsbuild,1432,66916
